Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",144.145000,-91.440000,90.000000,top
"C2","100nF","C_0603_1608Metric",140.970000,-91.440000,90.000000,top
"C3","1uF","C_0603_1608Metric",140.970000,-101.600000,-90.000000,top
"D1","LED_RABG","RGB",154.940000,-101.600000,0.000000,top
"D2","LED_RABG","RGB",154.940000,-96.520000,0.000000,top
"D3","LED_RABG","RGB",154.940000,-91.440000,0.000000,top
"D4","LED_RABG","RGB",148.590000,-101.600000,0.000000,top
"D5","LED_RABG","RGB",148.590000,-91.440000,0.000000,top
"J1","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",135.890000,-91.440000,0.000000,top
"R1","4k7","R_0603_1608Metric",140.970000,-96.520000,90.000000,top
"R2","4k7","R_0603_1608Metric",144.145000,-96.520000,90.000000,top
"R3","10k","R_0603_1608Metric",144.145000,-101.600000,90.000000,top
"U1","AW9523B","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",149.225000,-96.520000,90.000000,top
